date;BA;BP;F;FDX;GSK;IBM;JNJ;JPM;MCD;MMM;MSFT;PEP;TGT;VZ;BZH
18/10/2005;47.210995;29.514952;5.462952;78.774071;24.611992;55.121872;40.704468;22.698214;20.521181;50.075397;17.849047;38.100582;37.615181;12.86743;263.411407
19/10/2005;48.090233;30.010994;5.462952;79.435791;25.025482;55.57748;41.577114;23.343475;21.292225;50.705444;18.226809;37.976452;39.58004;12.889348;277.359833
20/10/2005;47.337601;29.312853;5.430704;79.77562;24.294682;54.917187;41.480156;23.356916;20.47695;50.202724;18.008869;37.675926;39.410419;12.801662;275.165192
21/10/2005;46.437275;29.524128;5.321057;79.167519;23.991774;55.022842;41.415512;23.612339;20.527504;50.196033;18.001608;37.623661;38.618801;12.94196;279.213165
24/10/2005;47.351677;29.694073;5.5468;81.367393;24.515829;55.115288;41.434906;24.03577;20.93198;50.645115;18.234068;37.865383;39.028759;13.191853;284.62677
25/10/2005;47.105488;30.047722;5.566149;81.456818;23.938887;55.04266;41.098782;24.008896;20.856148;50.718845;18.183226;37.891518;38.201824;13.323372;280.432434
26/10/2005;45.790157;30.346272;5.495202;80.902412;23.73214;54.732327;40.60104;24.264305;20.420061;50.383728;18.241335;37.597534;38.067535;13.411056;277.603729
27/10/2005;45.05162;29.923716;5.25011;80.0439;24.684122;54.349335;39.715454;24.217258;19.939737;50.142414;18.052454;38.067913;37.1063;13.485589;267.99588
28/10/2005;46.169991;30.525415;5.23705;81.045456;25.188955;53.761665;40.691528;24.49284;20.407423;51.100903;18.546448;38.433765;38.526928;13.897699;276.04303
31/10/2005;45.466606;30.497854;5.432948;82.20797;24.996628;54.065407;40.47823;24.613819;19.971336;50.926643;18.669949;38.597095;39.360939;13.814401;282.627136
01/11/2005;45.755013;30.428959;5.36765;82.029106;24.94376;53.873898;40.01281;24.768415;20.078783;50.175934;18.858824;38.257366;39.085297;13.739869;293.600555
02/11/2005;45.508812;30.911234;5.400298;83.611961;25.154428;53.523968;39.624962;25.00367;20.388462;50.370296;19.222054;38.525227;40.265625;13.796868;306.329742
03/11/2005;46.071522;31.462395;5.47213;84.702927;25.381971;54.719101;39.560307;24.929724;21.001507;50.363598;19.207521;38.577484;40.14547;13.516278;300.769897
04/11/2005;45.916794;30.713732;5.413359;83.64772;25.478792;54.804958;39.353466;25.0776;21.127907;50.356907;19.367346;38.283504;40.576599;13.546971;298.867889
07/11/2005;46.205166;30.539181;5.446009;84.318413;25.827351;55.207722;39.708992;25.326294;21.298544;50.8395;19.621605;38.257366;40.845192;13.393524;308.914673
08/11/2005;45.901558;30.792004;5.393767;84.300545;25.701479;55.035652;39.28236;25.097769;21.48814;50.906521;19.650661;38.087502;40.209091;13.441749;292.527618
09/11/2005;45.689739;30.375269;5.243579;84.837105;25.749891;54.830448;39.443974;25.353184;21.064707;51.000355;19.585285;38.087502;39.975861;13.525049;288.235748
10/11/2005;46.671169;29.773323;5.106451;85.498817;25.837036;55.591621;39.696064;25.756462;21.432339;51.730942;19.679724;38.472965;41.594383;13.652191;300.477264
11/11/2005;46.141609;29.967808;5.2044;85.847572;25.914484;55.962276;39.37933;25.716129;21.799976;51.978943;19.817753;38.348812;41.311676;13.766171;299.160431
14/11/2005;46.76297;30.328964;5.17828;86.160545;25.657909;55.83651;39.114292;25.628767;21.883814;52.032547;19.883131;38.283504;41.297554;13.753026;303.11087
15/11/2005;47.306637;30.21784;5.119509;84.112724;25.328714;56.610924;40.613968;25.359896;21.483936;52.320774;20.03614;38.348812;38.378506;13.511889;302.476837
16/11/2005;47.61729;30.125229;4.995439;83.585114;25.096338;57.279434;40.885464;25.413668;21.155005;51.549969;20.210991;38.335777;38.598015;13.63465;305.647003
17/11/2005;47.765579;30.375269;5.093389;85.615059;25.198;57.511089;40.943645;25.494333;21.406542;51.78455;20.378576;38.048321;39.228226;13.897699;319.254028
18/11/2005;47.271332;30.759594;5.485188;87.457176;24.166845;58.093548;40.644733;25.56155;21.342047;52.38781;20.451431;38.231236;39.100765;13.897699;337.201752
21/11/2005;48.718754;31.292082;5.432948;87.627129;23.798922;57.775841;40.280857;25.420385;21.329149;53.10498;20.517006;38.152836;38.88834;13.928389;334.909485
22/11/2005;48.789379;31.667149;5.446009;87.859604;24.316929;58.239124;40.033909;25.675812;21.27755;52.747856;20.334862;38.786541;38.994549;13.972231;353.588776
23/11/2005;49.029449;31.417109;5.504778;87.725487;24.423424;58.775291;40.072918;26.065649;21.74193;52.646763;20.342142;38.936798;39.015797;13.963464;354.369049
25/11/2005;48.761139;31.407852;5.432948;87.79702;23.978048;58.775291;40.384811;26.119419;21.580677;52.774811;20.225565;39.132805;39.107834;14.020452;353.344849
28/11/2005;48.457512;30.611416;5.459069;86.616623;23.939316;58.980461;40.547264;26.146313;21.896717;52.693932;20.218283;38.94986;38.746719;14.108137;340.859528
29/11/2005;48.810551;30.546593;5.570079;87.546631;24.176519;58.973831;40.28735;26.186634;21.883814;52.795006;20.16728;39.047871;38.236889;14.094987;339.250092
30/11/2005;48.146847;30.486403;5.308879;87.296265;23.99741;58.841476;40.124897;25.709419;21.832211;52.882633;20.16728;38.67548;37.889927;14.020452;341.249695
01/12/2005;49.191849;31.393963;5.289289;87.975861;24.433109;59.046631;40.085899;25.924509;22.786776;53.414948;20.32028;39.106663;38.095268;14.0906;340.079224
02/12/2005;49.029449;31.537512;5.321939;87.475098;24.709053;58.675995;39.774017;26.206797;22.515888;53.502563;20.407711;39.132805;38.13776;13.972231;345.297638
05/12/2005;48.859982;31.741241;5.26317;85.659752;24.68;58.530388;39.67004;26.112692;22.296598;52.774811;20.29114;39.106663;37.252644;13.902081;346.760803
06/12/2005;49.121227;31.838478;5.295819;88.539238;24.442793;59.000317;39.293159;26.112692;22.67713;52.35701;20.174562;39.008656;37.670422;13.915232;347.492371
07/12/2005;49.177708;31.176329;5.354591;88.959541;24.287874;58.722332;39.013741;25.857283;22.741621;52.141399;20.218283;38.857742;37.592518;13.788098;333.328918
08/12/2005;49.474262;31.681046;5.335001;87.34095;24.534763;57.914837;39.039734;25.978275;22.457846;51.844917;20.174562;38.759327;37.316368;13.691642;337.187256
09/12/2005;49.177708;31.079088;5.34153;87.779488;24.529928;57.564026;39.052723;26.294178;22.470734;52.464832;20.189142;38.713387;38.095268;13.625877;334.549927
12/12/2005;49.558987;31.176329;5.348059;87.788445;24.704206;56.895527;39.085217;26.314339;22.232109;51.959476;19.999701;38.916809;38.321861;13.468058;340.264191
13/12/2005;49.841419;30.967957;5.308879;88.200134;24.926903;55.406288;39.1502;26.489105;22.748093;51.851624;19.766558;38.69371;38.633411;13.468058;343.194489
14/12/2005;50.448662;31.13929;5.32847;89.363617;24.926903;55.022415;39.059235;26.583191;22.89642;52.255943;19.737411;38.877422;38.590939;13.389139;346.759735
15/12/2005;49.982628;30.676243;5.335001;90.034805;24.520252;55.287148;39.091721;26.603371;22.561037;52.215527;19.613562;39.10709;38.626343;13.41983;349.152954
16/12/2005;49.954395;30.43084;5.419889;89.408363;24.984999;55.181255;39.546574;26.744513;22.412697;51.945988;19.598986;39.251446;38.003223;13.367218;343.096832
19/12/2005;49.40366;30.227104;5.374179;88.808739;25.159277;54.7775;39.761009;26.616804;21.993456;52.269428;19.547976;39.06773;37.387184;13.380369;338.701263
20/12/2005;49.947323;30.097446;5.25664;88.146408;25.096338;54.592178;39.494602;26.616804;22.025713;52.175087;19.56983;38.824947;38.258129;13.389139;342.26651
21/12/2005;49.700218;30.143753;5.23705;92.809265;24.78167;55.015778;39.559574;26.771399;22.212755;52.592857;19.475122;38.870876;38.590939;13.424213;349.152954
22/12/2005;50.356842;29.990942;5.191339;93.31942;24.675165;55.081974;39.845486;26.919264;22.303049;52.99044;19.373114;38.857742;38.90958;13.454904;357.748627
23/12/2005;50.476871;30.004854;5.15869;93.578972;24.738096;55.25404;39.70903;27.020098;22.283695;52.963459;19.409552;38.851185;39.306107;13.362839;359.018463
27/12/2005;49.799057;29.324169;5.152159;93.301483;24.558977;54.929737;39.182693;26.952868;21.993456;52.141399;19.278402;38.838058;39.355667;13.345295;360.678986
28/12/2005;50.102661;29.680716;5.119509;93.265709;24.641273;54.962833;39.260674;26.825167;22.051508;52.693932;19.227409;38.929924;39.334442;13.261999;358.041687
29/12/2005;50.258007;29.727013;5.09992;92.836136;24.641273;54.539223;39.1502;26.791555;22.019262;52.754601;19.139973;39.06773;39.114918;13.270763;354.476379
30/12/2005;49.59428;29.736282;5.04115;92.531845;24.437952;54.406853;39.052723;26.677292;21.748379;52.222256;19.05254;38.765903;38.923748;13.205009;355.746246
03/01/2006;49.735519;30.754969;5.11298;92.469185;24.670326;54.314159;40.046913;27.013376;21.619373;53.307117;19.555256;39.21207;38.746719;13.318995;366.588531
04/01/2006;50.25095;30.954063;5.23052;93.829552;25.149588;54.24136;40.664223;26.857462;21.81287;53.037601;19.649986;39.192383;38.697147;13.70918;368.297943
05/01/2006;49.657848;30.792004;5.452539;92.871895;25.149588;54.605408;40.495285;26.938803;21.838671;52.552406;19.664555;38.962734;38.583855;13.867011;380.947327
06/01/2006;48.965889;31.486557;5.563549;91.815842;25.377125;56.227028;40.677223;27.128614;21.967665;52.9837;19.606268;39.10709;38.47057;13.922525;375.770416
09/01/2006;48.55637;31.537512;5.628848;92.111176;25.546558;55.419537;40.930641;27.569229;22.386892;53.246464;19.56983;38.910244;38.520123;13.980254;395.355011
10/01/2006;48.789379;31.569912;5.7268;91.278854;25.260935;55.644562;41.002113;27.609905;22.406252;52.916306;19.671833;38.778999;38.477638;14.037991;400.629639
11/01/2006;49.495441;31.440256;5.831279;91.08197;25.009192;55.710758;40.612236;27.58956;22.793224;52.808491;19.883133;38.621536;38.477638;14.206744;399.994781
12/01/2006;49.205971;31.463411;5.589668;89.775284;24.868813;55.313625;40.423813;27.08116;22.438494;52.35701;19.773838;38.608421;38.187317;14.260037;383.145142
13/01/2006;49.057693;32.282993;5.583139;89.497856;24.980154;55.048866;40.17038;27.06082;22.232109;52.222256;19.810272;38.516537;38.505959;14.291126;386.417389
17/01/2006;48.499897;32.602489;5.426421;87.877922;24.738096;54.936375;39.819489;26.918467;22.309494;51.945988;19.664555;38.339382;38.307693;13.980254;378.114685
18/01/2006;48.245712;32.171871;5.36112;90.05275;24.592857;55.465862;40.410805;26.626972;22.56749;52.006615;19.547976;38.313141;38.194412;13.833705;375.135468
19/01/2006;48.132725;32.546932;5.36765;91.932167;24.568659;54.995918;40.397808;26.477844;22.702932;51.824699;19.686407;38.273769;38.534275;13.953609;384.317322
20/01/2006;46.953602;32.495991;5.15869;89.453094;24.278189;53.850868;39.507584;25.793192;23.128607;50.69939;19.241968;37.584801;37.939476;13.740445;366.34436
23/01/2006;47.320751;32.759922;5.432948;89.730537;24.549294;53.883965;39.761009;25.942322;23.03186;51.009365;19.198256;37.729156;37.351768;13.767088;361.655762
24/01/2006;47.772636;32.662682;5.485188;90.589752;24.709053;53.513309;38.571888;25.833862;23.122162;49.998608;19.147255;38.083473;38.413925;13.718237;363.121002
25/01/2006;47.243076;32.472832;5.628848;90.213821;24.825235;53.55302;38.013069;26.084686;22.67713;49.190002;19.234688;37.821007;38.80336;13.935848;356.332275
26/01/2006;48.521065;32.43116;5.727948;91.19828;24.742939;53.427258;38.104023;26.837126;22.53524;48.98785;19.307549;37.66354;38.16608;14.069077;362.730255
27/01/2006;48.408089;32.880314;5.714734;91.699501;25.251251;53.625809;38.149525;26.945574;22.606178;48.954147;20.247425;38.188465;38.357262;14.273363;362.925598
